TITLE "<<F12_MS_5>> 4700 Reflector Spec #1=>CT[BP = 1333.4, 24749]" CENTROID
TYPE MASSSPEC
1032.410034	1113.53
1033.420166	913.922
1034.411865	600.387
1035.266357	1105.17
1036.317993	698.896
1046.417969	612.661
1048.412842	355.042
1067.522705	1013.03
1077.313477	663.445
1111.579102	361.186
1118.353638	667.993
1128.286621	3687.15
1129.288086	1462.17
1130.299194	3584.4
1131.312012	1634.81
1132.309937	586.191
1135.363403	815.047
1136.360474	1330.6
1137.354492	699.088
1151.354248	1173.81
1155.563110	809.818
1156.605713	660.483
1169.314209	5360.95
1170.326538	2300.56
1171.324707	4954.58
1172.326660	2042.07
1173.341675	847.155
1198.308472	652.85
1199.624878	689.284
1200.621582	490.355
1243.619995	969.286
1244.650635	626.689
1257.385742	847.755
1272.357666	590.244
1287.667358	906.745
1288.654419	632.531
1290.342773	1004.45
1291.332642	442.181
1292.345337	1146.77
1293.355835	514.578
1298.509033	776.539
1313.355225	690.378
1314.361328	582.283
1315.374878	933.556
1316.370239	743.023
1321.420044	709.939
1329.336426	446.412
1331.355469	21782.6
1331.687988	667.19
1332.355957	12421.1
1333.365356	24749.4
1334.368530	12905.5
1335.370728	4406.93
1336.382446	1254.16
1337.379395	679.142
1338.409424	558.593
1347.328247	929.565
1348.318481	503.641
1349.338867	1240.31
1350.348145	465.16
1351.331543	590.727
1364.195435	478.119
1365.196899	566.03
1375.696167	837.92
1376.702881	631.612
1419.707764	603.147
1434.381836	421.127
1452.369141	7308.01
1453.371582	4282.44
1454.379272	8014.69
1455.382568	4294.02
1456.386230	1521.58
1457.407959	821.861
1463.746826	718.153
1467.374512	456.396
1468.353882	655.62
1469.381958	708.245
1470.362305	726.859
1475.432983	344.241
1477.393188	560.851
1493.398315	3571.62
1494.393066	1971.24
1495.403076	4055.48
1496.403198	2415.53
1497.411377	1039.91
1501.452515	359.481
1507.755615	475.05
1516.489502	342.395
1524.466797	706.054
1525.472656	701.109
1526.391846	713.124
1534.419189	3576.72
1535.419067	2466.36
1536.433960	4454.67
1537.430054	2381.54
1538.431396	1121.69
1539.444092	623.507
1597.371216	375.881
1614.405762	3998.92
1615.407471	2734.83
1616.417114	5043.42
1617.423584	3148.33
1618.423218	1149.94
1619.438599	485.725
1631.391846	479.834
1638.457031	265.065
1645.464233	479.829
1655.434326	1782.31
1656.432495	1380.16
1657.435669	2001.42
1658.440063	1274.8
1659.444946	597.108
1678.445557	268.062
1696.456543	2333.35
1697.448242	1970.57
1698.465332	3348.83
1699.465088	2399.63
1700.468750	1034.64
1704.489380	444.008
1719.522583	511.721
1727.518921	608.391
1728.527710	341.444
1729.522705	569.745
1737.476318	3509.6
1738.477417	2677.1
1739.487183	4294.04
1740.486572	2811.42
1741.477905	1272.28
1742.503906	727.194
1743.553833	452.249
1744.555786	707.373
1745.535645	681.679
1746.552612	583.702
1760.506470	488.542
1776.437134	436.096
1778.457153	639.332
1800.383423	306.687
1858.489014	3184.11
1859.488403	2464.46
1860.500977	4180.18
1861.497681	2481.39
1862.512695	1403.29
1863.513306	672.159
1873.477051	233.843
1875.474731	345.266
1881.527222	293.057
1899.512817	3391.95
1900.514648	3139.63
1901.518066	4095.5
1902.527588	3007.89
1903.527100	1344.45
1904.531860	432.263
1905.556152	361.098
1922.539795	575.14
1924.543579	612.646
1925.569336	472.524
1938.542358	214.215
1940.534058	7657.95
1941.537842	6635.4
1942.541016	11316
1943.549561	8185.38
1944.547363	3675.67
1945.552856	1653.69
1946.552734	790.368
1947.595093	502.455
1948.604858	569.182
1956.511108	557.214
1957.510010	469.05
1958.479004	496.362
1959.507813	374.444
2001.433960	313.961
2002.440796	284.001
2020.555908	211.929
2061.536377	1776.57
2062.553223	1306.36
2063.552002	2192.1
2064.550781	1632.28
2065.564209	747.638
2066.546143	374.097
2077.487793	358.174
2102.571289	1612.55
2103.562988	1414.23
2104.574951	2131.02
2105.587646	1406.39
2106.583984	941.441
2107.589844	476.965
2125.590820	455.933
2127.606934	718.839
2128.603271	487.804
2129.618408	323.916
2136.530029	331.78
2142.594727	210.136
2143.590576	7316.43
2144.597900	6615.19
2145.599854	10623.4
2146.607910	7601.51
2147.608154	4137.4
2148.616211	1386.39
2149.614990	430.454
2151.630127	379.135
2159.584717	306.825
2160.548096	442.063
2161.572510	531.683
2162.582520	390.842
2223.583008	371.772
2224.588135	383.87
2225.582031	517.676
2226.595215	432.8
2227.601807	288.952
2261.575928	181.14
2264.592529	253.785
2266.596680	377.254
2267.611572	430.765
2279.580811	269.208
2289.646973	188.372
2305.620361	2013.43
2306.626709	1938.14
2307.633789	2732.2
2308.628418	1995.46
2309.648193	1086.56
2310.629150	362.636
2325.651611	182.287
2328.663330	296.571
2331.657471	374.261
2338.570801	197.612
2346.639404	3632.13
2347.644531	3619.9
2348.652344	6050.89
2349.662598	4257.75
2350.665283	2558.06
2351.670898	1100.76
2352.670898	560.321
2362.594482	305.444
2363.621826	337.262
2365.643311	415.822
2467.676270	424.192
2468.652832	467.326
2469.660156	370.173
2470.677002	324.065
2471.659912	288.397
2482.590088	132.136
2508.659912	1886.73
2509.687012	1849.97
2510.691650	2671.45
2511.687988	2172.66
2512.692383	1264.33
2513.710693	576.033
2514.683350	368.337
2523.994873	225.453
2637.036621	136.179
2638.036621	211.837
2670.704590	357.97
2671.706299	450.007
2672.698486	571.214
2673.713135	565.908
2674.743652	370.407
2753.998291	120.261
