# 
#  
# Data: SERUM-HD-6-6_10001.H13[c] 25 Mar 2013 11:52 Cal: tof mix 23 Mar 2013 10:51 
# Shimadzu Biotech Axima Resonance 2.9.3.20110624: Mode positive, Mid 850+, Power: 128
COM=SERUM-HD-6-6_10001_H13 
# 
# SERUM-HD-6-6_10001 Processed data [Charged] 
899.9857,2.8820
900.0201,3.1772
900.0545,2.6141
900.0889,1.6971
900.1234,0.9824
900.1578,0.5949
900.1922,0.5699
900.2267,0.6801
900.2611,0.6905
900.2955,0.5737
900.3300,0.3236
900.3644,0.1049
900.3988,0.0215
900.4333,0.0045
900.4677,0.0040
900.5021,0.0546
900.5366,0.3902
900.5710,1.5227
900.6055,3.8122
900.6399,6.5481
900.6743,7.9408
900.7088,7.1734
900.7432,5.1891
900.7777,3.0972
900.8121,1.6559
900.8466,0.9158
900.8810,0.5189
900.9154,0.6299
900.9499,1.1692
900.9843,1.4833
901.0188,1.2589
901.0532,0.6611
901.0877,0.2034
901.1221,0.0540
901.1566,0.0388
901.1910,0.1134
901.2255,0.2318
901.2599,0.2818
901.2944,0.2942
901.3288,0.2916
901.3633,0.2988
901.3977,0.2425
901.4322,0.1063
901.4666,0.0221
901.5011,0.0309
901.5356,0.1950
901.5700,0.6955
901.6045,1.6814
901.6389,3.1065
901.6734,4.2834
901.7078,4.3732
901.7423,3.6681
901.7768,2.6910
901.8112,1.7669
901.8457,1.1612
901.8802,0.7131
901.9146,0.5416
901.9491,0.5899
901.9836,0.5186
902.0180,0.3424
902.0525,0.2541
902.0870,0.3198
902.1214,0.4848
902.1559,0.6395
902.1904,1.0390
902.2248,1.4790
902.2593,1.5508
902.2938,1.4264
902.3282,1.2266
902.3627,0.8523
902.3972,0.4231
902.4317,0.1319
902.4661,0.0246
902.5006,0.0624
902.5351,0.4251
902.5696,1.5242
902.6040,3.2851
902.6385,5.2721
902.6730,7.1831
902.7075,8.1403
902.7419,7.7307
902.7764,5.9895
902.8109,3.5978
902.8454,2.0145
902.8799,1.3615
902.9144,0.9505
902.9488,0.7837
902.9833,0.6504
903.0178,0.4862
903.0523,0.3282
903.0868,0.1898
903.1213,0.3051
903.1558,0.5790
903.1902,0.6057
903.2247,0.4465
903.2592,0.2739
903.2937,0.1794
903.3282,0.1556
903.3627,0.1181
903.3972,0.1381
903.4317,0.1632
903.4662,0.0882
903.5007,0.0321
903.5352,0.2050
903.5697,1.1903
903.6042,3.4089
903.6386,6.0905
903.6731,7.9603
903.7076,7.8159
903.7421,5.9530
903.7766,3.8538
903.8111,2.1470
903.8456,1.1194
903.8801,0.6436
903.9146,0.3840
903.9491,0.5558
903.9837,0.9535
904.0182,1.0157
904.0527,0.9560
904.0872,0.8378
904.1217,0.5478
904.1562,0.2554
904.1907,0.1460
904.2252,0.3112
904.2597,0.5635
904.2942,0.6100
904.3287,0.5315
904.3632,0.3667
904.3977,0.1929
904.4323,0.0706
904.4668,0.0280
904.5013,0.1186
904.5358,0.5441
904.5703,1.7938
904.6048,4.1417
904.6393,7.0657
904.6739,9.4878
904.7084,9.6414
904.7429,7.1388
904.7774,4.2157
904.8119,2.2206
904.8464,0.9681
904.8810,0.4716
904.9155,0.5771
904.9500,1.0612
904.9845,1.3990
905.0191,1.0913
905.0536,0.5096
905.0881,0.1726
905.1226,0.0703
905.1572,0.1208
905.1917,0.3267
905.2262,0.6698
905.2607,1.0260
905.2953,1.1483
905.3298,0.9918
905.3643,0.6315
905.3989,0.2395
905.4334,0.0471
905.4679,0.0723
905.5024,0.4513
905.5370,1.5955
905.5715,3.8639
905.6060,6.8859
905.6406,9.1062
905.6751,9.4102
905.7097,7.9707
905.7442,5.6671
905.7787,3.5961
905.8133,2.0939
905.8478,1.2858
905.8823,1.6745
905.9169,2.6297
905.9514,2.9399
905.9860,2.5100
906.0205,1.5122
906.0551,0.5301
906.0896,0.0931
906.1241,0.0331
906.1587,0.1321
906.1932,0.2813
906.2278,0.3874
906.2623,0.4861
906.2969,0.5035
906.3314,0.4941
906.3660,0.4096
906.4005,0.1876
906.4351,0.0374
906.4696,0.0224
906.5042,0.1928
906.5387,0.9911
906.5733,3.0129
906.6078,6.1583
906.6424,8.9374
906.6769,9.6372
906.7115,8.6276
906.7460,6.7029
906.7806,4.4116
906.8152,2.5666
906.8497,1.1625
906.8843,0.5126
906.9188,0.6600
906.9534,1.0581
906.9880,1.3688
907.0225,1.2212
907.0571,0.5703
907.0916,0.1177
907.1262,0.0118
907.1608,0.0008
907.1953,0.0068
907.2299,0.0783
907.2645,0.3765
907.2990,0.7869
907.3336,0.8346
907.3682,0.5327
907.4027,0.2025
907.4373,0.0591
907.4719,0.0526
907.5064,0.1659
907.5410,0.8544
907.5756,2.5672
907.6102,4.9592
907.6447,6.9186
907.6793,7.3500
907.7139,6.6870
907.7485,5.4085
907.7830,3.4978
907.8176,1.7552
907.8522,0.7944
907.8868,0.5386
907.9213,0.7044
907.9559,0.7634
907.9905,0.6390
908.0251,0.4376
908.0597,0.1910
908.0942,0.0799
908.1288,0.0987
908.1634,0.1609
908.1980,0.2766
908.2326,0.3812
908.2672,0.5199
908.3017,0.6049
908.3363,0.4272
908.3709,0.1732
908.4055,0.0574
908.4401,0.0215
908.4747,0.0319
908.5093,0.2171
908.5439,0.8732
908.5785,2.1059
908.6130,3.8318
908.6476,5.8698
908.6822,6.9829
908.7168,6.3582
908.7514,4.6660
908.7860,2.7650
908.8206,1.6130
908.8552,1.2508
908.8898,1.0018
908.9244,0.7355
908.9590,0.4870
908.9936,0.2622
909.0282,0.1564
909.0628,0.0891
909.0974,0.0882
909.1320,0.1516
909.1666,0.1794
909.2012,0.2392
909.2358,0.3257
909.2704,0.4358
